ID,Subject,Total,proba_echec
205163,اللغة العربية,0.0,0.9999696
205196,اللغة العربية,0.0,0.9999696
207037,اللغة العربية,0.0,0.9999696
207102,اللغة العربية,0.0,0.9999696
207082,اللغة العربية,0.0,0.9999696
207095,اللغة العربية,0.0,0.9999696
207103,اللغة العربية,0.0,0.9999696
207041,اللغة العربية,0.0,0.9999696
207011,اللغة العربية,0.0,0.9999696
207100,اللغة العربية,0.0,0.9999696
207003,اللغة العربية,0.0,0.9999696
203140,اللغة العربية,0.0,0.9999696
203109,اللغة العربية,0.0,0.9999696
203155,اللغة العربية,0.0,0.9999696
203194,اللغة العربية,0.0,0.9999696
203176,اللغة العربية,0.0,0.9999696
203185,اللغة العربية,0.0,0.9999696
203179,اللغة العربية,0.0,0.9999696
203062,اللغة العربية,0.0,0.9999696
203192,اللغة العربية,0.0,0.9999696
203029,اللغة العربية,0.0,0.9999696
203008,اللغة العربية,0.0,0.9999696
203027,اللغة العربية,0.0,0.9999696
3090,رياضيات 2,10.0,0.9578708
3056,رياضيات 2,8.0,0.9999696
203133,اللغة العربية,0.0,0.9999696
203047,اللغة العربية,0.0,0.9999696
205134,اللغة العربية,0.0,0.9999696
205050,اللغة العربية,0.0,0.9999696
2639,الكيمياء الصناعية,18.0,0.96071094
205141,اللغة العربية,0.0,0.9999696
205027,اللغة العربية,0.0,0.9999696
203164,اللغة العربية,0.0,0.9999696
203159,اللغة العربية,0.0,0.9999696
203085,اللغة العربية,0.0,0.9999696
203099,اللغة العربية,0.0,0.9999696
203152,اللغة العربية,0.0,0.9999696
203026,اللغة العربية,0.0,0.9999696
203112,اللغة العربية,0.0,0.9999696
203011,اللغة العربية,0.0,0.9999696
203088,اللغة العربية,0.0,0.9999696
203095,اللغة العربية,0.0,0.9999696
203157,اللغة العربية,0.0,0.9999696
203037,اللغة العربية,0.0,0.9999696
201120,الكيمياء الصناعية,11.0,0.97419125
203045,اللغة العربية,0.0,0.9999696
203149,اللغة العربية,0.0,0.9999696
203104,اللغة العربية,0.0,0.9999696
203156,اللغة العربية,0.0,0.9999696
201283,الكيمياء الصناعية,14.0,0.9706946
201008,الكيمياء الصناعية,23.0,0.9611268
205122,لغة انكليزية 1,0.0,0.9999696
205191,لغة انكليزية 1,0.0,0.9999696
205010,لغة انكليزية 1,0.0,0.9999696
205121,لغة انكليزية 1,0.0,0.9999696
201242,الكيمياء الصناعية,4.0,0.9999696
205205,لغة انكليزية 1,0.0,0.9999696
205035,لغة انكليزية 1,0.0,0.9999696
205097,لغة انكليزية 1,0.0,0.9999696
205098,لغة انكليزية 1,0.0,0.9999696
205163,لغة انكليزية 1,0.0,0.9999696
205132,لغة انكليزية 1,0.0,0.9999696
205204,لغة انكليزية 1,0.0,0.9999696
205134,لغة انكليزية 1,0.0,0.9999696
205050,لغة انكليزية 1,0.0,0.9999696
205159,لغة انكليزية 1,0.0,0.9999696
205036,لغة انكليزية 1,0.0,0.9999696
205127,لغة انكليزية 1,0.0,0.9999696
205078,لغة انكليزية 1,0.0,0.9999696
201268,الكيمياء الصناعية,15.0,0.9706946
201185,الكيمياء الصناعية,5.0,0.9999696
201164,الكيمياء الصناعية,6.0,0.9999696
201061,الكيمياء الصناعية,8.0,0.9999696
205195,لغة انكليزية 1,0.0,0.9999696
3056,لغة انكليزية 1,0.0,0.9999696
3056,الفيزياء الحديثة,0.0,0.9999696
205162,لغة انكليزية 1,0.0,0.9999696
205141,لغة انكليزية 1,0.0,0.9999696
205027,لغة انكليزية 1,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
Unknown,الرسم الهندسي,12.0,0.9332526
Unknown,الرسم الهندسي,15.0,0.92363805
Unknown,الرسم الهندسي,3.0,0.9999696
Unknown,الرسم الهندسي,10.0,0.9332526
Unknown,الرسم الهندسي,4.0,0.9999696
Unknown,الرسم الهندسي,13.0,0.92547375
Unknown,الرسم الهندسي,6.0,0.9999696
Unknown,الرسم الهندسي,6.0,0.9999696
Unknown,الرسم الهندسي,4.0,0.9999696
Unknown,الرسم الهندسي,2.0,0.9999696
Unknown,الرسم الهندسي,13.0,0.92547375
Unknown,الرسم الهندسي,20.0,0.85845655
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,12.0,0.9332526
Unknown,الرسم الهندسي,5.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,24.0,0.85845655
Unknown,الرسم الهندسي,5.0,0.9999696
Unknown,الرسم الهندسي,6.0,0.9999696
Unknown,الرسم الهندسي,13.0,0.92547375
Unknown,الرسم الهندسي,16.0,0.90756935
Unknown,الرسم الهندسي,22.0,0.85845655
Unknown,الرسم الهندسي,12.0,0.9332526
Unknown,الرسم الهندسي,11.0,0.9332526
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,7.0,0.9999696
Unknown,الرسم الهندسي,13.0,0.92547375
Unknown,الرسم الهندسي,22.0,0.85845655
Unknown,الرسم الهندسي,14.0,0.92363805
Unknown,الرسم الهندسي,21.0,0.85845655
Unknown,الرسم الهندسي,4.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الرسم الهندسي,0.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
Unknown,الورش الكهربائية والالكترونية,0.0,0.9999696
202153,الكيمياء الصناعية,0.0,0.9999696
202097,الكيمياء الصناعية,0.0,0.9999696
202262,الكيمياء الصناعية,0.0,0.9999696
202218,الكيمياء الصناعية,0.0,0.9999696
202050,الكيمياء الصناعية,0.0,0.9999696
202077,الكيمياء الصناعية,0.0,0.9999696
Unknown,الرسم الهندسي,11.0,0.9332526
202202,الكيمياء الصناعية,0.0,0.9999696
202231,الكيمياء الصناعية,0.0,0.9999696
202121,الكيمياء الصناعية,0.0,0.9999696
202083,الكيمياء الصناعية,0.0,0.9999696
202258,الكيمياء الصناعية,0.0,0.9999696
202137,الكيمياء الصناعية,0.0,0.9999696
Unknown,الرسم الهندسي,18.0,0.85845655
Unknown,الرسم الهندسي,27.0,0.85476226
202240,الكيمياء الصناعية,0.0,0.9999696
202091,الكيمياء الصناعية,0.0,0.9999696
202018,الكيمياء الصناعية,0.0,0.9999696
Unknown,الرسم الهندسي,9.0,0.9999696
Unknown,الرسم الهندسي,11.0,0.9332526
202120,الكيمياء الصناعية,0.0,0.9999696
Unknown,الرسم الهندسي,18.0,0.85845655
206103,لغة انكليزية 1,0.0,0.9999696
206067,لغة انكليزية 1,0.0,0.9999696
206132,لغة انكليزية 1,0.0,0.9999696
202247,الكيمياء الصناعية,0.0,0.9999696
202166,الكيمياء الصناعية,0.0,0.9999696
202261,الكيمياء الصناعية,0.0,0.9999696
202099,الكيمياء الصناعية,0.0,0.9999696
202250,الكيمياء الصناعية,0.0,0.9999696
202070,الكيمياء الصناعية,0.0,0.9999696
202196,الكيمياء الصناعية,0.0,0.9999696
202059,الكيمياء الصناعية,0.0,0.9999696
206022,لغة انكليزية 1,0.0,0.9999696
206111,لغة انكليزية 1,0.0,0.9999696
206122,لغة انكليزية 1,0.0,0.9999696
206148,لغة انكليزية 1,0.0,0.9999696
206107,لغة انكليزية 1,0.0,0.9999696
202108,الكيمياء الصناعية,0.0,0.9999696
206048,لغة انكليزية 1,0.0,0.9999696
206079,لغة انكليزية 1,0.0,0.9999696
206129,لغة انكليزية 1,0.0,0.9999696
206106,لغة انكليزية 1,0.0,0.9999696
206037,لغة انكليزية 1,0.0,0.9999696
202243,الكيمياء الصناعية,0.0,0.9999696
206157,لغة انكليزية 1,0.0,0.9999696
202254,الكيمياء الصناعية,0.0,0.9999696
202259,الكيمياء الصناعية,0.0,0.9999696
206063,لغة انكليزية 1,0.0,0.9999696
202044,الكيمياء الصناعية,0.0,0.9999696
202205,الكيمياء الصناعية,0.0,0.9999696
202056,الكيمياء الصناعية,0.0,0.9999696
202057,الكيمياء الصناعية,0.0,0.9999696
206051,لغة انكليزية 1,0.0,0.9999696
206120,لغة انكليزية 1,0.0,0.9999696
202221,الكيمياء الصناعية,0.0,0.9999696
202007,الكيمياء الصناعية,0.0,0.9999696
206057,لغة انكليزية 1,0.0,0.9999696
Unknown,الرسم الهندسي,18.0,0.85845655
